wp_id,title,dependencies,requirements,audit_items,status,owner,definition_of_done_reference,pr_url,test_evidence,blocker
WP00,기준·환경·회귀 기반,,REQ-06;REQ-08;REQ-09;REQ-10;REQ-18;REQ-21;REQ-27;REQ-28,A33;A34;A36;S02;S10,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP00,,,
WP01,학원 인증·권한·영속 저장소,WP00,REQ-01;REQ-02;REQ-24;REQ-25;REQ-26;REQ-28,A13,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP01,,,
WP02,canonical revision·검증·지속 작업,WP01,REQ-06;REQ-07;REQ-11;REQ-14;REQ-17;REQ-20,A01;A02;A03;A04;A05;A06;A09;A18;A19;A22;S03;S12,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP02,,,
WP03,업로드·페이지·비파괴 전처리,WP02,REQ-03;REQ-04;REQ-05;REQ-23;REQ-25,A13;A14;A15;A31;A32;S01;S07;S11,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP03,,,
WP04,운영 AI·추출·원본/풀이 검증,WP03;WP00,REQ-06;REQ-07;REQ-10;REQ-11;REQ-21;REQ-27,A05;A11;A12;A17;A18;A34;S02;S04;S06;S07;S11,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP04,,,
WP05,수식 AST·도형 scene·표/그래프,WP02;WP04,REQ-06;REQ-08;REQ-09;REQ-10;REQ-25,A08;S01;S04;S05;S08,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP05,,,
WP06,검토·AI 편집·버전·undo,WP02;WP04,REQ-12;REQ-13;REQ-14;REQ-23,A01;A02;A03;A16;A20;A24;A25;A28,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP06,,,
WP07,레이아웃·브랜드·미주·렌더러,WP02;WP05;WP06,REQ-09;REQ-15;REQ-16;REQ-17;REQ-19,A07;A08;A09;S05;S06;S08;S09,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP07,,,
WP08,실제 한글 worker·proof·다운로드,WP07;RG-05,REQ-17;REQ-18;REQ-19;REQ-20,A04;A06;A10;A35;S05;S12,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP08,,,
WP09,웹 전체 여정·팝업·반응형,WP01;WP02;실연동WP03-WP08,REQ-01;REQ-02;REQ-12;REQ-13;REQ-16;REQ-19;REQ-22;REQ-23;REQ-28,A06;A16;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP09,,,
WP10,운영·비용·보안·보관·복구,WP01-WP09,REQ-20;REQ-21;REQ-24;REQ-25;REQ-26;REQ-28,S11,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP10,,,
WP11,독립 평가·파일럿·출시,WP00-WP10;RG-01-RG-10,REQ-01;REQ-02;REQ-03;REQ-04;REQ-05;REQ-06;REQ-07;REQ-08;REQ-09;REQ-10;REQ-11;REQ-12;REQ-13;REQ-14;REQ-15;REQ-16;REQ-17;REQ-18;REQ-19;REQ-20;REQ-21;REQ-22;REQ-23;REQ-24;REQ-25;REQ-26;REQ-27;REQ-28,A33;A36;S10;S12,NOT_STARTED,Devin,05_DELIVERY_PLAN.md#WP11,,,
