kind,id,title,requirements,work_packages,acceptance_tests,priority,implementation_status,verification_status,evidence_reference
AUDIT,A01,검토 확정이 본문/게이트에 미반영,REQ-12;REQ-14,WP02;WP06,AT-024;AT-034;AT-046,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A01
AUDIT,A02,편집 후 정답·해설·최종 검증 상태 유지,REQ-10;REQ-11;REQ-13;REQ-14,WP02;WP06,AT-033;AT-034;AT-046,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A02
AUDIT,A03,label/position 충돌로 다른 문제 수정,REQ-07;REQ-13,WP02;WP06,AT-019;AT-032;AT-033,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A03
AUDIT,A04,역검증 미실행을 0건으로 보고 최종 완료,REQ-11;REQ-17;REQ-18,WP02;WP08,AT-045;AT-047;AT-053,P1,IN_PROGRESS,NOT_RUN,evidence/BASELINE_FINDINGS.md#A04
AUDIT,A05,ATU/검증 증거 없는 필드도 gate 통과,REQ-06;REQ-07;REQ-11,WP02;WP04,AT-019;AT-020;AT-023;AT-025;AT-028,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A05
AUDIT,A06,미검증/빈 문서도 정상 내보내기,REQ-11;REQ-17;REQ-19,WP02;WP08;WP09,AT-025;AT-045;AT-046,P1,IN_PROGRESS,NOT_RUN,evidence/BASELINE_FINDINGS.md#A06
AUDIT,A07,"PDF 한글 손상, 선택지·수식·도형·페이지 분할 누락",REQ-09;REQ-15;REQ-17;REQ-19,WP07,AT-039;AT-040;AT-041;AT-042;AT-043;AT-047,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A07
AUDIT,A08,"HWPX/웹 도형 누락, 수식 객체 미출력",REQ-08;REQ-09;REQ-17,WP05;WP07,AT-039;AT-040;AT-047,P1,IN_PROGRESS,PARTIAL,evidence/BASELINE_FINDINGS.md#A08
AUDIT,A09,인쇄 번호/선택지 라벨을 출력에서 변경,REQ-07;REQ-17,WP02;WP07,AT-019;AT-020;AT-032;AT-046;AT-047,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A09
AUDIT,A10,편집 후 HWP가 이전 HWPX를 변환,REQ-14;REQ-17;REQ-18,WP08,AT-034;AT-046;AT-047,P1,IN_PROGRESS,NOT_RUN,evidence/BASELINE_FINDINGS.md#A10
AUDIT,A11,상충 OCR 결과를 별도 ATU로 모두 자동 승인,REQ-06;REQ-11,WP04,AT-020;AT-023;AT-028,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A11
AUDIT,A12,풀이 한 회차 누락을 합의 완료로 취급,REQ-10;REQ-11,WP04,AT-027;AT-028;AT-029,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A12
AUDIT,A13,업로드 filename으로 저장 경로 이탈,REQ-03;REQ-25,WP01;WP03,AT-009;AT-052;AT-053,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A13
AUDIT,A14,중복 파일명 페이지 덮어쓰기·페이지 순서 변경,REQ-03;REQ-04,WP03,AT-007;AT-008;AT-019,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A14
AUDIT,A15,허용한 PDF 입력이 실제 파이프라인에서 실패,REQ-03;REQ-04,WP03,AT-007;AT-009,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A15
AUDIT,A16,편집 실패 후 요청 버튼 영구 disabled,REQ-13;REQ-23,WP06;WP09,AT-033;AT-037,P1,IN_PROGRESS,NOT_RUN,evidence/BASELINE_FINDINGS.md#A16
AUDIT,A17,"본문 누락에도 추출 충분 판정, fallback 생략",REQ-06;REQ-11,WP04,AT-020;AT-023;AT-025,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A17
AUDIT,A18,provider 초기화 실패가 영구 UPLOADED로 남음,REQ-20;REQ-23,WP02;WP04,AT-013;AT-015;AT-017,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A18
AUDIT,A19,"gate 완료 전 COMPLETED 공개, SSE 조기 종료 경로",REQ-20,WP02,AT-013;AT-014;AT-016;AT-018,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A19
AUDIT,A20,무효 edit op를 성공 처리하거나 500 발생,REQ-13;REQ-25,WP06,AT-032;AT-033;AT-037;AT-052,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A20
AUDIT,A21,작업 실패 이유 숨김·실패 단계에 초록 체크,REQ-20;REQ-22;REQ-23,WP09,AT-006;AT-013;AT-014,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A21
AUDIT,A22,"없는 job/SSE 단절을 무한 진행, 처리 중 배지도 UPLOADED 유지",REQ-20;REQ-23,WP02;WP09,AT-006;AT-013;AT-014;AT-015,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A22
AUDIT,A23,`?doc` 없는 정상 작업 URL은 후속 링크 없음,REQ-02;REQ-20;REQ-22,WP09,AT-005;AT-014;AT-048,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A23
AUDIT,A24,검토 필드 식별/확정 오류 처리/누락·logic 복구 부재,REQ-12;REQ-22;REQ-23,WP06;WP09,AT-024;AT-025;AT-026;AT-037,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A24
AUDIT,A25,검토 카드 0개를 gate 통과로 오안내,REQ-11;REQ-12;REQ-23,WP06;WP09,AT-025;AT-045,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A25
AUDIT,A26,에디터 탐색 막힘·목록/preview 선택 미연결,REQ-02;REQ-22,WP09,AT-005;AT-032;AT-048;AT-049,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A26
AUDIT,A27,문서 조회 실패를 빈 목록/무한 로딩으로 숨김,REQ-22;REQ-23,WP09,AT-001;AT-006;AT-037;AT-048,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A27
AUDIT,A28,앞선 편집 응답이 다음 입력을 지울 수 있음,REQ-13;REQ-23,WP06;WP09,AT-033;AT-035;AT-037,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A28
AUDIT,A29,모바일 3열이 무너져 내용 확인 불가,REQ-22,WP09,AT-049;AT-050,P2,IN_PROGRESS,PARTIAL,evidence/BASELINE_FINDINGS.md#A29
AUDIT,A30,dark scheme의 흰 카드에 밝은 글씨 상속,REQ-22,WP09,AT-049;AT-050,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A30
AUDIT,A31,업로드 시작 컨트롤에 키보드 포커스 불가,REQ-03;REQ-22,WP03;WP09,AT-007;AT-011;AT-050,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A31
AUDIT,A32,업로드 실패 후 동일 파일 재선택 복구 누락,REQ-03;REQ-23,WP03;WP09,AT-011;AT-037,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A32
AUDIT,A33,"Golden 문항 누락을 regression=false로 판정, 내용 검사 부족",REQ-27,WP00;WP11,AT-019;AT-027;AT-028;AT-031;AT-058;AT-059,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A33
AUDIT,A34,replay 테스트의 cache miss 시 실제 SDK 호출 경로,REQ-21;REQ-27,WP00;WP04,AT-017;AT-028;AT-057;AT-058;AT-059,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A34
AUDIT,A35,HWP worker 가용성/실패 반환/종료 처리 불완전,REQ-18,WP08,AT-047;AT-053;AT-060,P2,IN_PROGRESS,PARTIAL,evidence/BASELINE_FINDINGS.md#A35
AUDIT,A36,프로젝트 lint 기본 검사 실패,REQ-27,WP00;WP11,AT-059;AT-060,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#A36
AUDIT,S01,"필기 제거가 인쇄선/문자 훼손, 원본과clean 복수 증거·보존 gate 필요",REQ-05;REQ-08,WP03;WP05,AT-010;AT-021;AT-022;AT-026;AT-040,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S01
AUDIT,S02,expected/캐시 정답7개 오류 및 두 회차 같은 seeded답 → 기준 재검수,REQ-10;REQ-11;REQ-27,WP00;WP04,AT-027;AT-028;AT-029;AT-031;AT-058,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S02
AUDIT,S03,"공유 부모/자식 비일관,31노드/28답/100점·집계 규칙 필요",REQ-07,WP02,AT-019;AT-020;AT-032;AT-043,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S03
AUDIT,S04,boxed 보기·도형 관계·학생 스케치 구분 실패,REQ-06;REQ-08,WP04;WP05,AT-020;AT-021;AT-022;AT-040,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S04
AUDIT,S05,"실제 한글수식0·미주0·도형0, 일단 텍스트 출력",REQ-08;REQ-09;REQ-17;REQ-18;REQ-19,WP05;WP07;WP08,AT-039;AT-040;AT-043;AT-047,P1,IN_PROGRESS,PARTIAL,evidence/BASELINE_FINDINGS.md#S05
AUDIT,S06,모든28답안 단위 정답+풀이 미주 coverage 및 학년/풀이 일관성 검증,REQ-10;REQ-19,WP04;WP07,AT-027;AT-029;AT-030;AT-043;AT-044,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S06
AUDIT,S07,학교/학년/시험·교육과정 profile의 추출/확인/출력 연결,REQ-04;REQ-10,WP03;WP04,AT-012;AT-030;AT-051,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S07
AUDIT,S08,"숫자it/단위roman/11pt 객체 수준 계약, 일반 문자열 출고 금지",REQ-09,WP05;WP07,AT-039;AT-047,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S08
AUDIT,S09,열당2문항·행별 최대높이·논술 답안공간·overflow 정책,REQ-15,WP07,AT-041;AT-042;AT-049,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S09
AUDIT,S10,reference HWP의 오타/누락을 Golden로 복제하지 않는3자 비교,REQ-27,WP00;WP11,AT-020;AT-027;AT-031,P1,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S10
AUDIT,S11,원본순서·모델call·cache hit·사람보정·proof 수행 여부를 결과에 표시,REQ-03;REQ-04;REQ-21;REQ-26;REQ-27,WP03;WP04;WP10,AT-007;AT-008;AT-012;AT-017;AT-023;AT-057;AT-058,P2,NOT_STARTED,NOT_RUN,evidence/BASELINE_FINDINGS.md#S11
AUDIT,S12,의미/도형/서식/미주/학년/파일역검증을 독립 통과한 동일revision만 final,REQ-11;REQ-17;REQ-18;REQ-27,WP02;WP08;WP11,AT-028;AT-045;AT-046;AT-047;AT-048;AT-060,P1,IN_PROGRESS,PARTIAL,evidence/BASELINE_FINDINGS.md#S12
REQUIREMENT,REQ-01,학원 격리·로그인·역할 권한,REQ-01,WP01;WP09;WP11,AT-001;AT-002;AT-003;AT-004;AT-018,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-01
REQUIREMENT,REQ-02,문서 보관함·검색·재개·보관/삭제,REQ-02,WP01;WP09;WP11,AT-005;AT-054,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-02
REQUIREMENT,REQ-03,안전한 업로드·원본 manifest·파일/페이지 보존,REQ-03,WP03;WP11,AT-007;AT-008;AT-009;AT-010;AT-011;AT-023,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-03
REQUIREMENT,REQ-04,페이지 순서·시험 메타데이터·교과 범위,REQ-04,WP03;WP11,AT-007;AT-008;AT-012;AT-030,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-04
REQUIREMENT,REQ-05,비파괴 전처리·필기 제외·인쇄 보존,REQ-05,WP03;WP11,AT-010;AT-021;AT-022,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-05
REQUIREMENT,REQ-06,본문/보기/조건 구조화·후보·출처 추적,REQ-06,WP00;WP02;WP04;WP05;WP11,AT-020;AT-021;AT-023,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-06
REQUIREMENT,REQ-07,문항 ID/인쇄 라벨/계층/배점 의미,REQ-07,WP02;WP04;WP11,AT-019;AT-020;AT-032;AT-042;AT-056,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-07
REQUIREMENT,REQ-08,원본 관계를 보존하는 도형·표·그래프 재현,REQ-08,WP00;WP05;WP11,AT-022;AT-031;AT-038;AT-040,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-08
REQUIREMENT,REQ-09,실제 편집 가능한 수식·숫자it/단위roman·11pt,REQ-09,WP00;WP05;WP07;WP11,AT-031;AT-039,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-09
REQUIREMENT,REQ-10,독립 정답·풀이·학년 범위·답/기호 일치,REQ-10,WP00;WP04;WP05;WP11,AT-022;AT-027;AT-028;AT-029;AT-030;AT-031;AT-043;AT-058,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-10
REQUIREMENT,REQ-11,검증 coverage·증거·미실행 차단,REQ-11,WP02;WP04;WP11,AT-013;AT-020;AT-021;AT-025;AT-027;AT-028;AT-034;AT-045;AT-048;AT-056;AT-058,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-11
REQUIREMENT,REQ-12,예외 검토·typed 확정·실제 내용 반영,REQ-12,WP06;WP09;WP11,AT-010;AT-023;AT-024;AT-025;AT-026,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-12
REQUIREMENT,REQ-13,의도된 AI 편집·영향 범위·재검증,REQ-13,WP06;WP09;WP11,AT-032;AT-033;AT-034;AT-035;AT-037;AT-038,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-13
REQUIREMENT,REQ-14,문서 버전·동시 수정·이력·undo/redo,REQ-14,WP02;WP06;WP11,AT-015;AT-016;AT-024;AT-032;AT-033;AT-034;AT-035;AT-036;AT-038;AT-046;AT-051;AT-056,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-14
REQUIREMENT,REQ-15,2열 문제 블록·행 정렬·답안 공간·페이지 나눔,REQ-15,WP07;WP11,AT-041;AT-042,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-15
REQUIREMENT,REQ-16,학원별 브랜드·템플릿·내용/스타일 분리,REQ-16,WP07;WP09;WP11,AT-041;AT-051,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-16
REQUIREMENT,REQ-17,불변 산출물·포맷별 proof·최종 출고,REQ-17,WP02;WP07;WP08;WP11,AT-039;AT-040;AT-044;AT-045;AT-046;AT-047;AT-048;AT-060,V1_REQUIRED,IN_PROGRESS,PARTIAL,01_PRODUCT_REQUIREMENTS.md#REQ-17
REQUIREMENT,REQ-18,중앙 Windows 한글 worker·실변환·재열기,REQ-18,WP00;WP08;WP11,AT-039;AT-040;AT-045;AT-046;AT-047;AT-053;AT-060,V1_REQUIRED,IN_PROGRESS,PARTIAL,01_PRODUCT_REQUIREMENTS.md#REQ-18
REQUIREMENT,REQ-19,출력 용도·미주 coverage·학생용 답안 비노출,REQ-19,WP07;WP08;WP09;WP11,AT-029;AT-043;AT-044,V1_REQUIRED,IN_PROGRESS,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-19
REQUIREMENT,REQ-20,지속 작업·큐·공정성·재시도/취소·SSE,REQ-20,WP02;WP08;WP10;WP11,AT-011;AT-013;AT-014;AT-015;AT-016;AT-017;AT-018,V1_REQUIRED,IN_PROGRESS,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-20
REQUIREMENT,REQ-21,운영 AI 인증/모델 라우팅·비용/한도·캐시,REQ-21,WP00;WP04;WP10;WP11,AT-017;AT-028;AT-048;AT-053;AT-057;AT-058,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-21
REQUIREMENT,REQ-22,페이지 연결·모바일·접근성·팝업,REQ-22,WP09;WP11,AT-005;AT-006;AT-014;AT-026;AT-033;AT-037;AT-038;AT-049;AT-050,V1_REQUIRED,IN_PROGRESS,PARTIAL,01_PRODUCT_REQUIREMENTS.md#REQ-22
REQUIREMENT,REQ-23,loading/empty/error/충돌 복구·입력 보존,REQ-23,WP03;WP06;WP09;WP11,AT-001;AT-005;AT-006;AT-011;AT-013;AT-014;AT-025;AT-033;AT-035;AT-037;AT-050,V1_REQUIRED,IN_PROGRESS,PARTIAL,01_PRODUCT_REQUIREMENTS.md#REQ-23
REQUIREMENT,REQ-24,개인정보·보관/삭제·권한변경·감사 추적,REQ-24,WP01;WP10;WP11,AT-003;AT-004;AT-012;AT-054;AT-055;AT-057,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-24
