test_id,name,requirements,importance,status,code_commit,environment_versions,fixture_hash,data_tier,execution_time,actual_result,evidence_required,evidence_path,reviewer,blocker_or_issue
AT-001,인증,REQ-01;REQ-23,P0,NOT_RUN,,,,,,,I+E: 응답/리다이렉트·복귀 화면,,,
AT-002,권한,REQ-01,P0,NOT_RUN,,,,,,,I+E: 역할×grant×작업 결과표·우회 요청,,,
AT-003,학원 격리,REQ-01;REQ-24;REQ-25,P0,NOT_RUN,,,,,,,I: 전체 자원 경로 권한 시험,,,
AT-004,세션 변경,REQ-01;REQ-24,P0,NOT_RUN,,,,,,,I+E: 지연 응답·탭 기록,,,
AT-005,문서함·복구,REQ-02;REQ-22;REQ-23,P1,NOT_RUN,,,,,,,I+E: 복제ID맵·권한·재시작 전후 상태,,,
AT-006,상태 안내,REQ-22;REQ-23,P0,NOT_RUN,,,,,,,I+E: 상태별 화면,,,
AT-007,업로드,REQ-03;REQ-04,P1,NOT_RUN,,,,,,,I+E: page hash·순서·렌더,,,
AT-008,업로드 무결성,REQ-03;REQ-04,P0,NOT_RUN,,,,,,,I+E: manifest·저장 hash,,,
AT-009,파일 경계,REQ-03;REQ-25,P0,NOT_RUN,,,,,,,U+I: 악성 corpus·저장경계 검사,,,
AT-010,입력 품질,REQ-03;REQ-05;REQ-12,P1,NOT_RUN,,,,,,,I+E+H: 원본과 경고 대조,,,
AT-011,업로드 복구,REQ-03;REQ-20;REQ-23,P1,NOT_RUN,,,,,,,I+E: asset/job 수·재시도,,,
AT-012,메타데이터·개인정보,REQ-04;REQ-24,P0,NOT_RUN,,,,,,,I+E+H: snapshot/hash·무효화·개인정보 검색,,,
AT-013,작업 lifecycle,REQ-11;REQ-20;REQ-23,P0,NOT_RUN,,,,,,,I+E: 02§9 사건순서·checkpoint·slot,,,
AT-014,진행 복귀,REQ-20;REQ-22;REQ-23,P1,NOT_RUN,,,,,,,I+E: 02§9 chain·이벤트·revision,,,
AT-015,durable retry,REQ-14;REQ-20;REQ-26,P0,NOT_RUN,,,,,,,I+L: crash별 call ledger·checkpoint,,,
